PC173,GustavoMVP_'s Gengar Gallade Team,,GustavoMVP_,,,,Gengarite,,,Sitrus Berry,,,Focus Sash,,,Scope Lens,,,Leftovers,,,Quick Claw,,https://pokepast.es/9239c58e82ca958a,Yes,Extracted,✔,G0WB5RENAT,11 Apr 2026,-,,https://x.com/GustavoMVP_/status/2042878027617501283?s=20,-,-,GustavoMVP_,,Gengar-Mega,Incineroar,Basculegion,Gallade,Whimsicott,Aegislash,,PC173
PC172,rainrmn's Starmie Hydreigon Team,,rainrmn,,,,Starminite,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Soft Sand,,,Choice Scarf,,https://pokepast.es/17821956e5f6461b,Yes,Extracted,✔,MR44BPEF7X,11 Apr 2026,-,,https://x.com/rainrmn/status/2042945020987347328?s=20,-,-,rainrmn,,Starmie-Mega,Incineroar,Pelipper,Sneasler,Garchomp,Hydreigon,,PC172
PC171,Jaylun's Tyranitar Sinistcha Team,,Yang Chieh-Lun,,,,Tyranitarite,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Fairy Feather,,,Colbur Berry,,https://pokepast.es/558097d675c2f2ff,Yes,Owner's,✔,2KEF69HSEJ,11 Apr 2026,Video,,https://x.com/Jaylun44/status/2042906047518773522?s=20,https://youtu.be/Jp5Prs_FKq4?si=kncsoSF3t8a5u-fq,-,Jaylun44,,Tyranitar-Mega,Gyarados,Excadrill,Sneasler,Whimsicott,Sinistcha,,PC171
PC170,kurbito's Delphox Aerodactyl Team,,kurbito,,,,Delphoxite,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Black Glasses,,,Roseli Berry,,https://pokepast.es/b7b6810f8d31fdba,Yes,Extracted,✔,59NK0UCQAT,11 Apr 2026,-,,https://x.com/Kurbitoo/status/2042938419177824297?s=20,-,-,Kurbitoo,,Delphox-Mega,Rotom-Wash,Aerodactyl,Sneasler,Kingambit,Garchomp,,PC170
PC169,Light_88_'s Floette Rain Team,,Light_88_,,,,Floettite,,,Lum Berry,,,Focus Sash,,,White Herb,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/d9994bf1fdfdd0c8,Yes,Extracted,✔,LLMX4RCR24,9 Apr 2026,-,,https://x.com/Light_88_/status/2042380061228101793?s=20,-,-,Light_88_,,Floette-Eternal-Mega,Incineroar,Pelipper,Sneasler,Sinistcha,Archaludon,,PC169
PC168,soulkw's Feraligatr Scizor Team,,soulkw,,,,Feraligite,,,Shuca Berry,,,Choice Scarf,,,White Herb,,,Focus Sash,,,Metal Coat,,https://pokepast.es/b4c3afadc45a8b98,Yes,Extracted,✔,2QHQN1BWUQ,11 Apr 2026,-,,Discord Submission,https://youtu.be/vee8cu00lyk?si=HDdV-rlRaJZD47yE,-,Manual Entry,,Feraligatr-Mega,Arcanine,Meowscarada,Sneasler,Gengar,Scizor,,PC168
PC167,Freezai's Floette Aerodactyl Team,,Bhushan Thumsi,,,,Floettite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Haban Berry,,https://pokepast.es/c61b25a165d0052e,Yes,Extracted,✔,VPSYBQ1JSU,11 Apr 2026,Video,,https://x.com/freezaiYT/status/2042958678999887889,youtu.be/9Ezu2ueOkJU,-,freezaiYT,,Floette-Mega,Incineroar,Basculegion,Aerodactyl,Sneasler,Garchomp,,PC167
PC166,Desu's Ninopokebros Pokemon Champions First Tour Top 8 Team,,Nico Davide Cognetta,,,,Floettite,,,Tyranitarite,,,Chople Berry,,,Leftovers,,,Focus Sash,,,Sitrus Berry,,https://pokepast.es/92705bdb544f0d43,Yes,Extracted,✔,P0CAKQ4QHU,10 Apr 2026,Ninopokebros Pokemon Champions First Tour,Top 8,https://x.com/DesuVGC/status/2042832103490937053,-,-,DesuVGC,,Floette-Eternal-Mega,Tyranitar-Mega,Incineroar,Rotom-Wash,Excadrill,Sinistcha,,PC166
PC165,breasoy's Tyranitar Excadrill Team,,breasoy,,,,Tyranitarite,,,Sitrus Berry,,,Wacan Berry,,,Focus Sash,,,Leftovers,,,Choice Scarf,,https://pokepast.es/5b428e2b50449d1c,Yes,Extracted,✔,GV3VD9L92L,10 Apr 2026,-,,https://x.com/breasoy/status/2042566390285062350?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,breasoy,,Tyranitar-Mega,Incineroar,Milotic,Excadrill,Corviknight,Gardevoir,,PC165
PC164,Wolfey's Froslass Orthworm Team,,Wolfe Glick,,,,Froslassite,,,Lum Berry,,,Choice Scarf,,,Never-Melt Ice,,,Sitrus Berry,,,Focus Sash,,https://pokepast.es/7f6a53c93418a5c2,Yes,Extracted,✔,7S7RENU9B9,10 Apr 2026,Video,,https://youtu.be/P3txtowxpeo?si=cnb29XLHZp7DkCT5,-,-,WolfeyGlick,,Froslass-Mega,Incineroar,Basculegion,Rotom-Frost,Orthworm,Garchomp,,PC164
PC163,maddyinaction's Floette Rain Team,,maddyinaction,,,,Floettite,,,Lum Berry,,,Mystic Water,,,Focus Sash,,,White Herb,,,Sitrus Berry,,https://pokepast.es/6dedd7e718250026,Yes,Extracted,✔,STX0U8E6LC,10 Apr 2026,-,,https://x.com/maddyinaction/status/2042836542679331215?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,maddyinaction,,Floette-Eternal-Mega,Incineroar,Basculegion,Pelipper,Sneasler,Archaludon,,PC163
PC162,iwillthegamer's Tyranitar Corviknight Team,,iwillthegamer,,,,Tyranitarite,,,Shuca Berry,,,Leftovers,,,Focus Sash,,,Sitrus Berry,,,Occa Berry,,https://pokepast.es/337b27749e974d60,Yes,Extracted,✔,71EFL6W6L3,10 Apr 2026,-,,https://x.com/iwillthegamer/status/2042843084929618125?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,iwillthegamer,,Tyranitar-Mega,Incineroar,Rotom-Wash,Excadrill,Sinistcha,Corviknight,,PC162
PC161,itoranotikubi's Gengar Rain Team,,itoranotikubi,,,,Gengarite,,,Scizorite,,,Mystic Water,,,Focus Sash,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/cab775330d8f2b6e,Yes,Extracted,✔,FJ7FELPX4N,10 Apr 2026,-,,https://x.com/itoranotikubi/status/2042841193898549638?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,itoranotikubi,,Gengar-Mega,Scizor-Mega,Basculegion,Pelipper,Politoed,Archaludon,,PC161
PC160,cyaksgaming's Floette Maushold Team,,cyaksgaming,,,,Floettite,,,Sitrus Berry,,,White Herb,,,Focus Sash,,,Leftovers,,,Soft Sand,,https://pokepast.es/fc8842f0244f1f87,Yes,Extracted,✔,BA37BS0FJS,10 Apr 2026,-,,https://x.com/cyaksgaming/status/2042799974946111785?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,cyaksgaming,,Floette-Eternal-Mega,Incineroar,Sneasler,Maushold-Four,Sinistcha,Garchomp,,PC160
PC159,Rinya's Aerodactyl Kingambit Team,,Rinya Kobayashi,,,,Aerodactylite,,,Leftovers,,,Focus Sash,,,Chople Berry,,,Choice Scarf,,,Sitrus Berry,,https://pokepast.es/980a4ae01d83406b,Yes,Extracted,✔,SS3UAA7KNY,10 Apr 2026,-,,https://x.com/gozira2004/status/2042825595512590790?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,gozira2004,,Aerodactyl-Mega,Rotom-Wash,Sneasler,Kingambit,Archaludon,Garchomp,,PC159
PC158,platano_power_420's Glimmora Sand Team,,platano_power_420,,,,Glimmoranite,,,Sitrus Berry,,,Focus Sash,,,Chople Berry,,,Lum Berry,,,Leftovers,,https://pokepast.es/bbd3da26c5df884e,Yes,Extracted,✔,AA4LM166CH,10 Apr 2026,-,,Discord Submission,-,-,Manual Entry,,Glimmora-Mega,Milotic,Excadrill,Tyranitar,Sinistcha,Corviknight,,PC158
PC157,Magnetman's Floette Tyranitar Team,,Adryan Sutantoso,,,,Floettite,,,Tyranitarite,,,Chople Berry,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,https://pokepast.es/95bf339fa7e2de70,Yes,Extracted,✔,GFYA388PVY,10 Apr 2026,-,,https://x.com/magnetmanvgc/status/2042817277247262903?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,magnetmanvgc,,Floette-Eternal-Mega,Tyranitar-Mega,Incineroar,Rotom-Wash,Excadrill,Sinistcha,,PC157
PC156,Hector Hurtado's Froslass Milotic Team,,Hector Hurtado,,,,Froslassite,,,Leftovers,,,White Herb,,,Focus Sash,,,Black Glasses,,,Choice Scarf,,https://pokepast.es/5eb4181fe97402b7,Yes,Extracted,✔,1W3PTG2KS3,10 Apr 2026,-,,https://x.com/gamesblackstorm/status/2042796789158334741?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,gamesblackstorm,,Froslass-Mega,Milotic,Sneasler,Whimsicott,Kingambit,Garchomp,,PC156
PC155,shuuka_poke's Floette Kingambit Team,,shuuka_poke,,,,Floettite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Chople Berry,,https://pokepast.es/da07f453b16a25e8,Yes,Extracted,✔,4Y8SYLV3EU,10 Apr 2026,-,,https://x.com/shuuka_poke/status/2042791494122410232?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,shuuka_poke,,Floette-Eternal-Mega,Incineroar,Basculegion,Aerodactyl,Sneasler,Kingambit,,PC155
PC154,zalwa13's Kangaskhan Gallade Team,,zalwa13,,,,Kangaskhanite,,,White Herb,,,Scope Lens,,,Focus Sash,,,Leftovers,,,Choice Scarf,,https://pokepast.es/9d93eec8bf9a7f58,Yes,Extracted,✔,RPVB9XRD04,10 Apr 2026,-,,https://x.com/zalwa13/status/2042774192752566276?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,https://zalwa.net/nekototteoki,-,zalwa13,,Kangaskhan-Mega,Arcanine-Hisui,Gallade,Whimsicott,Aegislash,Hydreigon,,PC154
PC153,MrPenguin93's Venusaur Tyranitar Team,,Juan C. Ortiz,,,,Venusaurite,,,Lum Berry,,,Sitrus Berry,,,Chople Berry,,,Choice Scarf,,,White Herb,,https://pokepast.es/c943218989f9764e,Yes,Extracted,X,None,10 Apr 2026,-,,https://x.com/mrpenguin93/status/2042786758509682988?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,mrpenguin93,,Venusaur-Mega,Incineroar,Rotom-Wash,Tyranitar,Gardevoir,Garchomp,,PC153
PC152,_gunk0's Charizard-Y Farigiraf Team,,_gunk0,,,,Charizardite Y,,,Sitrus Berry,,,White Herb,,,Focus Sash,,,Leftovers,,,Choice Scarf,,https://pokepast.es/1269043afbf19b6a,Yes,Extracted,✔,FHGK2M25HP,10 Apr 2026,-,,https://x.com/_gunk0/status/2042769967142093153?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,_gunk0,,Charizard,Rotom-Wash,Sneasler,Whimsicott,Farigiraf,Garchomp,,PC152
PC151,c7efairy's Alcremie Mimikyu Team,,c7efairy,,,,Clefablite,,,Gardevoirite,,,Quick Claw,,,Sitrus Berry,,,White Herb,,,Focus Sash,,https://pokepast.es/d25dafadce6ea64c,Yes,Extracted,✔,64PKH2M6E6,10 Apr 2026,-,,https://x.com/c7efairy/status/2042782259980468665?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,c7efairy,,Clefable-Mega,Gardevoir-Mega,Basculegion,Alcremie,Mimikyu,Garchomp,,PC151
PC150,void_c0re's Charizard-Y Gengar Team,,void_c0re,,,,Gengarite,,,Charizardite Y,,,Focus Sash,,,White Herb,,,Black Glasses,,,Choice Scarf,,https://pokepast.es/d1ad5779d44e503d,Yes,Extracted,✔,13ANV62LH5,10 Apr 2026,-,,https://x.com/void_c0re/status/2042560749545955603?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,void_c0re,,Gengar-Mega,Charizard,Aerodactyl,Sneasler,Kingambit,Garchomp,,PC150
PC149,katatatat__'s Froslass Scovillain Team,,katatatat__,,,I,No Item Info,,I,No Item Info,,I,No Item Info,,I,No Item Info,,I,No Item Info,,I,No Item Info,,https://pokepast.es/a5814cbc9d02630f,Yes,Extracted,✔,SDLY5JBWAS,10 Apr 2026,-,,https://x.com/katatatat__/status/2042749067239817453?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,katatatat__,,Scovillain,Basculegion,Froslass,Sneasler,Kingambit,Kommo-o,,PC149
PC148,pcdv8r's Manectric Skarmory Team,,pcdv8r,,,,Manectite,,,Skarmorite,,,Sitrus Berry,,,Black Glasses,,,Fairy Feather,,,Lum Berry,,https://pokepast.es/276148eb16c8cfbe,Yes,Extracted,✔,JR0EC8K4UW,10 Apr 2026,-,,https://x.com/pcdv8r/status/2042702345755369787?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,pcdv8r,,Manectric-Mega,Skarmory-Mega,Incineroar,Kingambit,Sylveon,Dragapult,,PC148
PC147,k_moou's Charizard-Y Tyranitar Team,,k_moou,,,,Tyranitarite,,,Charizardite Y,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Spell Tag,,https://pokepast.es/bb285e8f966524b2,Yes,Extracted,✔,YYFTT0LC92,10 Apr 2026,-,,https://x.com/k_moou/status/2042647640941433229?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,k_moou,,Tyranitar-Mega,Charizard,Gyarados,Mamoswine,Sneasler,Aegislash,,PC147
PC146,Lexicon's Blastoise Rain Team,,Alex Underhill,,,,Blastoisinite,,,White Herb,,,Choice Scarf,,,Focus Sash,,,Mental Herb,,,Sitrus Berry,,https://pokepast.es/6516fecaabe389f3,Yes,Extracted,✔,AW2JR3D451,10 Apr 2026,-,,https://x.com/lexiconvgc/status/2042709922513850446?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,lexiconvgc,,Blastoise-Mega,Incineroar,Basculegion,Pelipper,Farigiraf,Sinistcha,,PC146
PC145,roasis2802's Glimmora Sylveon Team,,roasis2802,,,,Glimmoranite,,,Sharp Beak,,,Chople Berry,,,Leftovers,,,Choice Scarf,,,Haban Berry,,https://pokepast.es/64a0cedea73483f2,Yes,Extracted,✔,GEDXJTRDDJ,10 Apr 2026,-,,https://x.com/roasis2802/status/2042653636015354293?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,roasis2802,,Glimmora-Mega,Talonflame,Kingambit,Sylveon,Garchomp,Hydreigon,,PC145
PC144,vgiodav's Froslass Zoroark-Hisui Team,,vgiodav,,,,Froslassite,,,Black Belt,,,Sitrus Berry,,,Focus Sash,,,Choice Scarf,,,Lum Berry,,https://pokepast.es/39219c4a0d422458,Yes,Extracted,✔,X5UCJBC8T6,10 Apr 2026,-,,https://x.com/vgiodav/status/2042760160926367816?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,vgiodav,,Froslass-Mega,Incineroar,Rotom-Wash,Meowscarada,Zoroark-Hisui,Dragonite,,PC144
PC143,ant_atk's Charizard-Y Lucario Team,,ant_atk,,,,Lucarionite,,,Charizardite Y,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,White Herb,,https://pokepast.es/b88b722fd432c6a1,Yes,Extracted,✔,XWLUA5TDF0,10 Apr 2026,-,,https://x.com/ant_atk/status/2042712667513618441?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,ant_atk,,Lucario-Mega,Charizard,Rotom-Mow,Tyranitar,Dragapult,Garchomp,,PC143
PC142,lorenzao14's Pinsir Mono Bug Team ,,lorenzao14,,,,Pinsirite,,,Lum Berry,,,Never-Melt Ice,,,Choice Scarf,,,Focus Sash,,,White Herb,,https://pokepast.es/2245353805be04ff,Yes,Extracted,✔,CS6H0W00GK,10 Apr 2026,-,,https://x.com/lorenzao14/status/2042746671423963460?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,lorenzao14,,Pinsir-Mega,Volcarona,Araquanid,Kleavor,Vivillon,Scizor,,PC142
PC141,JMOdri's Gardevoir Tauros Team,,Juan Manuel Odriozola,,,,Gardevoirite,,,Choice Scarf,,,Mystic Water,,,Focus Sash,,,Spell Tag,,,Chople Berry,,https://pokepast.es/c052327a108947d7,Yes,Extracted,✔,RWWPUKWXMA,10 Apr 2026,-,,https://x.com/jmodrivgc/status/2042713459343712398?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,jmodrivgc,,Gardevoir-Mega,Rotom-Heat,Tauros-Paldea-Aqua,Aerodactyl,Aegislash,Hydreigon,,PC141
PC140,gaberainery's Gengar Palafin Team,,gaberainery,,,,Gengarite,,,Sitrus Berry,,,Mystic Water,,,White Herb,,,Occa Berry,,,Focus Sash,,https://pokepast.es/1eb12c6aaa1bf632,Yes,Extracted,✔,2C10K439PD,10 Apr 2026,-,,https://x.com/gaberainery/status/2042442227821982106,-,-,gaberainery,,Gengar-Mega,Incineroar,Palafin,Sneasler,Sinistcha,Ninetales-Alola,,PC140
PC139,arboldeku's Charizard-Y Sylveon Team,,arboldeku,,,,Charizardite Y,,,Focus Sash,,,Lum Berry,,,Chople Berry,,,Fairy Feather,,,Choice Scarf,,https://pokepast.es/65ffd04a857f20c4,Yes,Extracted,✔,NXVR7P2T6B,10 Apr 2026,-,,https://x.com/arboldeku/status/2042686511942946914?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,arboldeku,,Charizard,Venusaur,Aerodactyl,Kingambit,Sylveon,Garchomp,,PC139
PC138,Lorcy's Meganium Aegislash Team,,Joshua Lorcy,,,,Meganiumite,,,Sitrus Berry,,,Leftovers,,,Focus Sash,,,Choice Scarf,,,Metal Coat,,https://pokepast.es/a514c287d87a2602,Yes,Extracted,✔,CCNTCMY941,10 Apr 2026,-,,https://x.com/lorcylovesyou/status/2042701179788939421?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,lorcylovesyou,,Meganium-Mega,Incineroar,Milotic,Aerodactyl,Tyranitar,Aegislash,,PC138
PC137,DUH's Dedenne Rain Team,,Duh Jenn-Chau,,,,Floettite,,,Chople Berry,,,Choice Scarf,,,Lum Berry,,,Focus Sash,,,Sitrus Berry,,https://pokepast.es/6e0a2ccbba27e5f2,Yes,Extracted,✔,6G0EY2CX38,10 Apr 2026,-,,https://x.com/ilike282/status/2042692324548071914?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,ilike282,,Floette-Eternal-Mega,Incineroar,Basculegion,Pelipper,Dedenne,Sinistcha,,PC137
PC136,generalpigeon's Gardevoir Manectric Team,,generalpigeon,,,,Gardevoirite,,,Manectite,,,Focus Sash,,,Colbur Berry,,,Leftovers,,,Dragon Fang,,https://pokepast.es/ac667cbbafae1071,Yes,Extracted,✔,NLS04L7H05,10 Apr 2026,-,,https://x.com/generalpigeon/status/2042674096966680879?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,generalpigeon,,Gardevoir-Mega,Manectric-Mega,Maushold-Four,Farigiraf,Corviknight,Dragonite,,PC136
PC135,WyatVGC's Starmie Aegislash Team,,Wyatt McDonald,,,,Starminite,,,Focus Sash,,,White Herb,,,Chople Berry,,,Kasib Berry,,,Leftovers,,https://pokepast.es/47f9a5fd9f7cc263,Yes,Extracted,✔,5BWGKNG5PC,10 Apr 2026,-,,https://x.com/WyatVGC/status/2042678869115965471,-,-,WyatVGC,,Starmie-Mega,Pelipper,Sneasler,Maushold,Aegislash,Archaludon,,PC135
PC134,WyatVGC's Floette Charizard-Y Team,,Wyatt McDonald,,,,Charizardite Y,,,Floettite,,,Sitrus Berry,,,Focus Sash,,,Lum Berry,,,Choice Scarf,,https://pokepast.es/93b3bf538407c484,Yes,Extracted,✔,QBXKWXL05U,10 Apr 2026,-,,https://x.com/WyatVGC/status/2042678869115965471,-,-,WyatVGC,,Charizard-Mega-Y,Floette-Mega,Incineroar,Venusaur,Aerodactyl,Garchomp,,PC134
PC133,Palo's Glimmora Conkeldurr Team,,Juan Benítez,,,,Glimmoranite,,,Lum Berry,,,Sitrus Berry,,,Black Belt,,,Mental Herb,,,Choice Scarf,,https://pokepast.es/462d3d6e2f0dbb22,Yes,Extracted,✔,10UKQPLB60,10 Apr 2026,-,,https://x.com/SoyPalo_/status/2042681680947724800?s=20,-,-,SoyPalo_,,Glimmora-Mega,Incineroar,Gyarados,Conkeldurr,Mimikyu,Hydreigon,,PC133
PC132,cecilily's Meganium Dragonite Team,,cecilily,,,,Dragoninite,,,Meganiumite,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Leftovers,,https://pokepast.es/8b832f9d0e2dc712,Yes,Extracted,✔,9Y838CAAR1,10 Apr 2026,-,,https://x.com/cecililytweets/status/2042658530482704420?s=20,-,-,cecililytweets,,Dragonite-Mega,Meganium-Mega,Basculegion,Pelipper,Sneasler,Archaludon,,PC132
PC131,Asuka's Floette Talonflame Team,,Asuka,,,,Floettite,,,Chople Berry,,I,No Item,,,Leftovers,,,Sitrus Berry,,,Soft Sand,,https://pokepast.es/2451513151d0d018,Yes,Extracted,✔,SNE72HTH6T,10 Apr 2026,-,,https://x.com/asuka_pkmn/status/2042635452252065918,-,-,asuka_pkmn,,Floette-Mega,Incineroar,Talonflame,Rotom-Wash,Sinistcha,Garchomp,,PC131
PC130,Daniel Song's Kangaskhan Aegislash Team,,Daniel Song,,,,Kangaskhanite,,,Sitrus Berry,,,Lum Berry,,,White Herb,,,Leftovers,,,Focus Sash,,https://pokepast.es/6583164022b85a0e,Yes,Extracted,✔,117UBW3HPW,10 Apr 2026,-,,https://x.com/pokedansong/status/2042530941638447305?s=20,-,-,pokedansong,,Kangaskhan-Mega,Arcanine,Gyarados,Sneasler,Aegislash,Hydreigon,,PC130
PC129,Hakua's Chesnaught Froslass Team,,Hakua,,,,Chesnaughtite,,,Froslassite,,,Focus Sash,,,Choice Scarf,,,Leftovers,,,Chople Berry,,https://pokepast.es/49a4aa1aeadbba36,Yes,Extracted,✔,N7Y7DX79QK,10 Apr 2026,-,,https://x.com/hakua_pkm11/status/2042651035047739844,-,-,hakua_pkm11,,Chesnaught-Mega,Froslass-Mega,Glimmora,Tyranitar,Sinistcha,Kingambit,,PC129
PC128,Betchman's Charizard-Y Farigiraf Team,,Betchman,,,,Charizardite Y,,,Focus Sash,,,White Herb,,,Sitrus Berry,,,Black Glasses,,,Choice Scarf,,https://pokepast.es/03f7852f3427209e,Yes,Extracted,✔,1F9G2NW0V4,10 Apr 2026,-,,https://x.com/Betchman22/status/2042602055337152767?s=20,-,-,Betchman22,,Charizard-Mega-Y,Venusaur,Sneasler,Farigiraf,Kingambit,Garchomp,,PC128
PC127,Chompy's Floette Orthworm Team,,Chompy,,,,Floettite,,,Shuca Berry,,,Leftovers,,,Sitrus Berry,,,Lum Berry,,,Choice Scarf,,https://pokepast.es/874da6f459731ca0,Yes,Extracted,✔,9PM78N46W6,10 Apr 2026,-,,https://x.com/chompygm_/status/2042633764937802110?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,chompygm_,,Floette-Mega,Incineroar,Sinistcha,Orthworm,Dragonite,Garchomp,,PC127
PC126,bunde_'s Floette Garchomp Team,,bunde_,,,,Floettite,,,Chople Berry,,,Sharp Beak,,,Choice Scarf,,,Sitrus Berry,,,White Herb,,https://pokepast.es/07d92110a5f02ea7,Yes,Extracted,✔,X5UQ3839D7,10 Apr 2026,-,,Discord Submission,-,-,Manual Entry,,Floette-Mega,Incineroar,Talonflame,Rotom-Wash,Sinistcha,Garchomp,,PC126
PC125,spy_anya11's Froslass Gengar Team,,spy_anya11,,,,Froslassite,,,Gengarite,,,Mystic Water,,,Focus Sash,,,Chople Berry,,,Sitrus Berry,,https://pokepast.es/95c99e68500eeeb2,Yes,Extracted,✔,GTD80RUKTJ,10 Apr 2026,-,,https://x.com/spy_anya11/status/2042615355965894737?s=46,-,-,spy_anya11,,Froslass-Mega,Gengar-Mega,Basculegion,Sneasler,Kingambit,Garchomp,,PC125
PC124,nayzokz's Charizard Whimsicott Team,,nayzokz,,,,Charizardite Y,,,Leftovers,,,White Herb,,,Focus Sash,,,Sitrus Berry,,,Yache Berry,,https://pokepast.es/87b4a816b2bf8d12,Yes,Extracted,✔,1QA3QG1PWN,10 Apr 2026,-,,https://x.com/NayZoKzPOK/status/2042628851138769106,-,-,NayZoKzPOK,,Charizard-Mega-Y,Rotom-Wash,Sneasler,Whimsicott,Farigiraf,Garchomp,,PC124
PC123,williamsracingcl43aa23's Froslass Sneasler Team,,williamsracingcl43aa23,,,,Froslassite,,,Sitrus Berry,,,Magnet,,,White Herb,,,Leftovers,,,Black Glasses,,https://pokepast.es/f304b5892f395576,Yes,Extracted,✔,4E70C27FK7,10 Apr 2026,-,,Discord Submission,-,-,Manual Entry,,Froslass-Mega,Incineroar,Rotom-Wash,Sneasler,Sinistcha,Kingambit,,PC123
PC122,soulkw's Floette Excadrill Team,,soulkw,,,,Floettite,,,Sitrus Berry,,,Mystic Water,,,Choice Scarf,,,Focus Sash,,,White Herb,,https://pokepast.es/ce6a857eba1aca8f,Yes,Extracted,✔,GRY85CAB4R,10 Apr 2026,Video,,Discord Submission,https://youtu.be/J7rp6kd2Aw4?si=bqI1rA755iEcQd9T,-,Manual Entry,,Floette-Mega,Incineroar,Palafin,Excadrill,Sneasler,Dragonite,,PC122
PC121,dodoriosiriru's Drampa Pinsir Team,,Hijito Kihara,,,,Drampanite,,,Pinsirite,,,Sitrus Berry,,,Mystic Water,,,Soft Sand,,,Mental Herb,,https://pokepast.es/0ac4be160c05fd8c,Yes,Extracted,✔,XCD04537FV,10 Apr 2026,-,,https://x.com/dodoriosiriru/status/2042561611375018249?s=20,-,-,dodoriosiriru,,Drampa-Mega,Pinsir-Mega,Incineroar,Primarina,Mudsdale,Mimikyu,,PC121
PC120,Desu's Dragonite Palafin Team,,Nico Davide Cognetta,,,,Dragoninite,,,Mystic Water,,,Leftovers,,,Sitrus Berry,,,Focus Sash,,,Fairy Feather,,https://pokepast.es/4ddae7ca44292e97,Yes,Extracted,✔,LD2M0MLG5N,10 Apr 2026,-,,https://x.com/DesuVGC/status/2042561579644756433?s=20,-,-,DesuVGC,,Dragonite-Mega,Palafin,Politoed,Farigiraf,Aegislash,Sylveon,,PC120
PC119,PsychoR&R's Charizard-Y Venusaur Team,,PsychoR&R,,,,Charizardite Y,,,Shuca Berry,,,Sitrus Berry,,,Focus Sash,,,Choice Scarf,,,Haban Berry,,https://pokepast.es/814f0e8d137137c0,Yes,Extracted,✔,1725RCWA1Y,10 Apr 2026,-,,https://x.com/psyr_r/status/2042536574882345088?s=46,-,-,psyr_r,,Charizard-Mega-Y,Incineroar,Milotic,Venusaur,Gardevoir,Garchomp,,PC119
PC118,d5sfdql05gd54d2's Greninja Glimmora Team,,d5sfdql05gd54d2,,,,Glimmoranite,,,Greninjite,,,Black Belt,,,Mystic Water,,,Focus Sash,,,Choice Scarf,,https://pokepast.es/e38bb3d5ff4053f2,Yes,Extracted,✔,9J4LTAW21D,10 Apr 2026,-,,https://x.com/d5sfdql05gd54d2/status/2042429148371829185?s=46,-,-,d5sfdql05gd54d2,,Glimmora-Mega,Greninja-Mega,Arcanine,Basculegion-F,Sneasler,Vanilluxe,,PC118
PC117,anrivgc's Floette Balance Team,,anrivgc,,,,Floettite,,,Chople Berry,,,Sitrus Berry,,,Focus Sash,,,Occa Berry,,,White Herb,,https://pokepast.es/06c4d588d129ad75,Yes,Extracted,✔,7EL2E16F1D,10 Apr 2026,-,,https://x.com/anrivgc/status/2042101414252704107?s=46,-,-,anrivgc,,Floette-Mega,Incineroar,Rotom-Wash,Aerodactyl,Sinistcha,Garchomp,,PC117
